                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84803,                 2.4949,                 1.0633,                0.51678,                0.36194,                0.30001,                0.22737,                0.79093,                 1.0299,                 1.0031,             0.00015093,             0.00015093,             0.00015093
                      2,                0.79365,                 1.2992,                 1.0146,                0.59261,                0.53042,                0.52611,                0.40178,                0.76928,                0.81899,                0.98112,              0.0002966,              0.0002966,              0.0002966
                      3,                0.79754,                  1.121,                  1.008,                0.76905,                0.59014,                0.70253,                0.53441,                0.76252,                0.74317,                0.97428,             0.00043627,             0.00043627,             0.00043627
                      4,                 0.8011,                0.99325,                 1.0093,                0.79369,                0.61293,                0.74514,                0.56425,                0.77115,                0.68367,                0.98716,             0.00042797,             0.00042797,             0.00042797
                      5,                0.76818,                0.85577,                0.99783,                0.83709,                0.70952,                0.79964,                0.61436,                0.74048,                0.58232,                0.96727,             0.00041896,             0.00041896,             0.00041896
                      6,                0.76031,                0.77017,                0.99337,                0.73198,                 0.8499,                 0.8619,                0.67478,                0.73406,                0.57451,                0.96312,             0.00040995,             0.00040995,             0.00040995
                      7,                0.75258,                 0.7245,                0.98243,                0.91552,                0.80966,                0.89538,                0.69523,                0.74769,                0.53722,                0.98023,             0.00040095,             0.00040095,             0.00040095
                      8,                0.73313,                0.66167,                0.98547,                0.85884,                0.82986,                0.91009,                  0.714,                0.71552,                0.50395,                0.95188,             0.00039194,             0.00039194,             0.00039194
                      9,                0.74483,                0.63756,                0.98409,                  0.902,                0.80054,                0.90218,                0.70476,                 0.7251,                0.49256,                0.95971,             0.00038293,             0.00038293,             0.00038293
                     10,                0.72548,                0.59986,                0.98165,                0.91794,                0.87252,                0.92082,                0.71508,                0.71243,                0.46245,                0.95191,             0.00037392,             0.00037392,             0.00037392
                     11,                0.72398,                0.58065,                0.97731,                0.85809,                0.87748,                0.92811,                0.73313,                 0.7108,                0.46384,                0.94561,             0.00036491,             0.00036491,             0.00036491
                     12,                0.71193,                0.55406,                0.96869,                 0.9252,                0.91511,                0.93409,                0.73526,                0.72016,                0.46498,                0.95211,              0.0003559,              0.0003559,              0.0003559
                     13,                0.71842,                 0.5492,                0.98156,                0.90472,                0.85657,                0.97287,                0.78762,                0.70427,                0.44762,                0.94534,             0.00034689,             0.00034689,             0.00034689
                     14,                0.71163,                0.53692,                0.96975,                 0.9053,                0.91485,                0.98296,                0.78365,                0.71516,                0.43562,                0.95119,             0.00033788,             0.00033788,             0.00033788
                     15,                0.71329,                0.52471,                0.97406,                0.88511,                 0.9306,                0.98725,                0.79626,                 0.6952,                0.41447,                0.93802,             0.00032887,             0.00032887,             0.00032887
                     16,                0.69053,                0.50441,                0.96288,                0.92049,                0.94962,                0.98582,                0.79016,                0.70032,                0.40996,                0.93521,             0.00031986,             0.00031986,             0.00031986
                     17,                0.70197,                0.50545,                0.96421,                0.94657,                0.91349,                0.98049,                0.79041,                0.69929,                0.41534,                0.94549,             0.00031086,             0.00031086,             0.00031086
                     18,                0.69015,                0.49473,                0.96023,                0.95857,                0.90951,                 0.9883,                0.78899,                0.69552,                0.41161,                0.94599,             0.00030185,             0.00030185,             0.00030185
                     19,                0.68071,                0.47895,                0.95856,                0.95118,                0.97674,                0.98849,                0.79695,                0.69698,                0.39532,                 0.9371,             0.00029284,             0.00029284,             0.00029284
                     20,                0.68236,                0.46729,                0.95652,                0.89295,                0.99255,                0.98587,                0.79952,                0.68217,                0.37403,                0.93342,             0.00028383,             0.00028383,             0.00028383
                     21,                0.67815,                0.46385,                 0.9548,                0.83994,                0.99711,                0.98906,                0.79889,                0.69368,                0.37815,                0.94279,             0.00027482,             0.00027482,             0.00027482
                     22,                0.67629,                0.45195,                0.95747,                0.91231,                0.99221,                0.98923,                0.79669,                0.69426,                0.38524,                0.94573,             0.00026581,             0.00026581,             0.00026581
                     23,                0.67854,                0.45987,                0.95416,                0.93341,                0.97781,                0.98438,                0.79221,                0.69354,                0.37798,                0.93237,              0.0002568,              0.0002568,              0.0002568
